dataset,seed,method,k_ratio,precision
PubMed,4,Degree,0.1,0.6184677828513445
PubMed,4,Betweenness,0.1,0.426179604261796
Computers,0,Ours,0.01,0.014925373134328358
Computers,0,PageRank,0.01,0.5074626865671642
Computers,0,Degree,0.01,0.7164179104477612
Computers,0,Betweenness,0.01,0.17164179104477612
Computers,0,Ours,0.05,0.05646359583952452
Computers,0,PageRank,0.05,0.3684992570579495
Computers,0,Degree,0.05,0.5542347696879644
Computers,0,Betweenness,0.05,0.12184249628528974
Computers,0,Ours,0.1,0.10393466963622866
Computers,0,PageRank,0.1,0.3518930957683742
Computers,0,Degree,0.1,0.5968819599109132
Computers,0,Betweenness,0.1,0.1603563474387528
Computers,1,Ours,0.01,0.022388059701492536
Computers,1,PageRank,0.01,0.5074626865671642
Computers,1,Degree,0.01,0.7164179104477612
Computers,1,Betweenness,0.01,0.17164179104477612
Computers,1,Ours,0.05,0.0638930163447251
Computers,1,PageRank,0.05,0.3684992570579495
Computers,1,Degree,0.05,0.5542347696879644
Computers,1,Betweenness,0.05,0.12184249628528974
Computers,1,Ours,0.1,0.09948032665181886
Computers,1,PageRank,0.1,0.3518930957683742
Computers,1,Degree,0.1,0.5968819599109132
Computers,1,Betweenness,0.1,0.1603563474387528
Computers,2,Ours,0.01,0.0
Computers,2,PageRank,0.01,0.5074626865671642
Computers,2,Degree,0.01,0.7164179104477612
Computers,2,Betweenness,0.01,0.17164179104477612
Computers,2,Ours,0.05,0.0713224368499257
Computers,2,PageRank,0.05,0.3684992570579495
Computers,2,Degree,0.05,0.5542347696879644
Computers,2,Betweenness,0.05,0.12184249628528974
Computers,2,Ours,0.1,0.09725315515961395
Computers,2,PageRank,0.1,0.3518930957683742
Computers,2,Degree,0.1,0.5968819599109132
Computers,2,Betweenness,0.1,0.1603563474387528
Computers,3,Ours,0.01,0.007462686567164179
Computers,3,PageRank,0.01,0.5074626865671642
Computers,3,Degree,0.01,0.7164179104477612
Computers,3,Betweenness,0.01,0.17164179104477612
Computers,3,Ours,0.05,0.06537890044576523
Computers,3,PageRank,0.05,0.3684992570579495
Computers,3,Degree,0.05,0.5542347696879644
Computers,3,Betweenness,0.05,0.12184249628528974
Computers,3,Ours,0.1,0.10022271714922049
Computers,3,PageRank,0.1,0.3518930957683742
Computers,3,Degree,0.1,0.5968819599109132
Computers,3,Betweenness,0.1,0.1603563474387528
Computers,4,Ours,0.01,0.014925373134328358
Computers,4,PageRank,0.01,0.5074626865671642
Computers,4,Degree,0.01,0.7164179104477612
Computers,4,Betweenness,0.01,0.17164179104477612
Computers,4,Ours,0.05,0.06240713224368499
Computers,4,PageRank,0.05,0.3684992570579495
Computers,4,Degree,0.05,0.5542347696879644
Computers,4,Betweenness,0.05,0.12184249628528974
Computers,4,Ours,0.1,0.10170749814402376
Computers,4,PageRank,0.1,0.3518930957683742
Computers,4,Degree,0.1,0.5968819599109132
Computers,4,Betweenness,0.1,0.1603563474387528
Photo,0,Ours,0.01,0.0
Photo,0,PageRank,0.01,0.5333333333333333
Photo,0,Degree,0.01,0.7866666666666666
Photo,0,Betweenness,0.01,0.16
Photo,0,Ours,0.05,0.034574468085106384
Photo,0,PageRank,0.05,0.3670212765957447
Photo,0,Degree,0.05,0.5558510638297872
Photo,0,Betweenness,0.05,0.14361702127659576
Photo,0,Ours,0.1,0.099601593625498
Photo,0,PageRank,0.1,0.351925630810093
Photo,0,Degree,0.1,0.5391766268260292
