dataset,method,beta_scale,ratio,mean,std
CS,Ours_Adaptive,1.2,0.05,0.4075435312765901,0.024670730330824266
CS,Ours_Adaptive,1.2,0.1,0.6735699195090546,0.030200639447070552
CS,Ours_Adaptive,1.5,0.01,0.06613638762770212,0.024207447264515982
CS,Ours_Adaptive,1.5,0.05,0.2497331862925855,0.012351839169176046
CS,Ours_Adaptive,1.5,0.1,0.45477212987129445,0.029005007817950602
CS,Ours_Adaptive,2.0,0.01,0.022864262736820278,0.025165503430993684
CS,Ours_Adaptive,2.0,0.05,0.16066836372389925,0.012592472979946477
CS,Ours_Adaptive,2.0,0.1,0.2978214227268426,0.02661609374011387
CS,PageRank,0.8,0.01,0.5107563900701632,0.028635499219814398
CS,PageRank,0.8,0.05,0.6173856138761079,0.03378379604844465
CS,PageRank,0.8,0.1,0.6425092517595615,0.029287416438215193
CS,PageRank,0.9,0.01,0.7696435613271634,0.008406408379814923
CS,PageRank,0.9,0.05,0.8392748538782845,0.009512285416599722
CS,PageRank,0.9,0.1,0.8543436845956759,0.009388578777172588
CS,PageRank,1.0,0.01,0.9039234242322394,0.007674069393996526
CS,PageRank,1.0,0.05,0.9458899830717143,0.0066214928576245205
CS,PageRank,1.0,0.1,0.9525583230765096,0.006017447054976055
CS,PageRank,1.1,0.01,0.9518029231496381,0.002757898712014781
CS,PageRank,1.1,0.05,0.9802909729873172,0.0017714122812677354
CS,PageRank,1.1,0.1,0.9836081458974253,0.001723305942216204
CS,PageRank,1.2,0.01,0.9565279057102959,0.001425012251107608
CS,PageRank,1.2,0.05,0.9898128657295473,0.0008946735478913343
CS,PageRank,1.2,0.1,0.9918268101736023,0.0008338786775449816
CS,PageRank,1.5,0.01,0.7845114877658987,0.0141328975747068
CS,PageRank,1.5,0.05,0.9957663673590433,0.0004104238266979597
CS,PageRank,1.5,0.1,0.9973819498532477,0.00022439029436363615
CS,PageRank,2.0,0.01,0.42252803647574266,0.00893298740110286
CS,PageRank,2.0,0.05,0.9920347932501562,0.0015799490360986395
CS,PageRank,2.0,0.1,0.9986712914903514,0.00011964960807720746
CS,PageRank_Adaptive,0.8,0.01,0.5130707433492872,0.02955808921797512
CS,PageRank_Adaptive,0.8,0.05,0.6173049919013426,0.035199654350706946
CS,PageRank_Adaptive,0.8,0.1,0.6424096297552719,0.031024797436272265
CS,PageRank_Adaptive,0.9,0.01,0.7691787504875481,0.006874122599721866
CS,PageRank_Adaptive,0.9,0.05,0.8386658947358858,0.011338361898688384
CS,PageRank_Adaptive,0.9,0.1,0.8548550098054379,0.009661861091729623
CS,PageRank_Adaptive,1.0,0.01,0.9038604470726561,0.009755514722976318
CS,PageRank_Adaptive,1.0,0.05,0.9459731561994007,0.0070308900662003305
CS,PageRank_Adaptive,1.0,0.1,0.9524374321151979,0.005962837222876389
CS,PageRank_Adaptive,1.1,0.01,0.9520311732610637,0.002657758040580388
CS,PageRank_Adaptive,1.1,0.05,0.9805218443952695,0.0017656896155969248
CS,PageRank_Adaptive,1.1,0.1,0.9836450457474635,0.0016323716315715562
CS,PageRank_Adaptive,1.2,0.01,0.9568306580178587,0.0031877057227118373
CS,PageRank_Adaptive,1.2,0.05,0.9898490763985217,0.0009214320695303097
CS,PageRank_Adaptive,1.2,0.1,0.9917966111038415,0.0007785566216372124
CS,PageRank_Adaptive,1.5,0.01,0.7764568278524642,0.01560693583151607
CS,PageRank_Adaptive,1.5,0.05,0.9958209943471565,0.0004796027015533616
CS,PageRank_Adaptive,1.5,0.1,0.9973449872449063,0.00023420917773729822
CS,PageRank_Adaptive,2.0,0.01,0.42324022352538543,0.009244942414017554
CS,PageRank_Adaptive,2.0,0.05,0.9919023979200388,0.0013963662778006384
CS,PageRank_Adaptive,2.0,0.1,0.9986747003181679,0.00010048122662383968
CiteSeer,Betweenness,0.8,0.01,0.35445111121988315,0.055689469849960295
CiteSeer,Betweenness,0.8,0.05,0.45635092298616425,0.08025786236758892
CiteSeer,Betweenness,0.8,0.1,0.46317751669018614,0.08239392395491765
CiteSeer,Betweenness,0.9,0.01,0.4163387640316662,0.05198193186083814
CiteSeer,Betweenness,0.9,0.05,0.5271188372244446,0.07562864157532134
CiteSeer,Betweenness,0.9,0.1,0.5482280811159796,0.08440760493575301
CiteSeer,Betweenness,1.0,0.01,0.4748511863023719,0.04326612829650029
CiteSeer,Betweenness,1.0,0.05,0.6106631017042894,0.08528824205669794
CiteSeer,Betweenness,1.0,0.1,0.6277762814842365,0.0922546930790533
CiteSeer,Betweenness,1.1,0.01,0.48481637418341883,0.027274076595457598
CiteSeer,Betweenness,1.1,0.05,0.6630858031154284,0.04893676809633088
CiteSeer,Betweenness,1.1,0.1,0.6935827753159659,0.055723712941003985
CiteSeer,Betweenness,1.2,0.01,0.49116089666176227,0.01691461319219371
CiteSeer,Betweenness,1.2,0.05,0.685751053358171,0.03899399485580514
CiteSeer,Betweenness,1.2,0.1,0.7219093290613883,0.03872633226618685
CiteSeer,Betweenness,1.5,0.01,0.5209227278233748,0.023567776233494864
CiteSeer,Betweenness,1.5,0.05,0.7374644047734432,0.015722403239448915
CiteSeer,Betweenness,1.5,0.1,0.7942477994915753,0.024018149958599348
CiteSeer,Betweenness,2.0,0.01,0.5893490359882796,0.04551414168397851
CiteSeer,Betweenness,2.0,0.05,0.7904671406261968,0.016660618067471045
CiteSeer,Betweenness,2.0,0.1,0.8586247443160122,0.008567593427712732
CiteSeer,Betweenness_Adaptive,0.8,0.01,0.36215131694825475,0.04536226671955447
CiteSeer,Betweenness_Adaptive,0.8,0.05,0.44737189282322587,0.06900194131367111
CiteSeer,Betweenness_Adaptive,0.8,0.1,0.4654748845594162,0.08286536566151514
CiteSeer,Betweenness_Adaptive,0.9,0.01,0.4162961872222385,0.05069147872880387
CiteSeer,Betweenness_Adaptive,0.9,0.05,0.5288634744937429,0.08493553574526498
CiteSeer,Betweenness_Adaptive,0.9,0.1,0.5470667064194259,0.08112026399576686
CiteSeer,Betweenness_Adaptive,1.0,0.01,0.4738956882817284,0.052250623128522224
CiteSeer,Betweenness_Adaptive,1.0,0.05,0.6123184344709399,0.08425616782598895
CiteSeer,Betweenness_Adaptive,1.0,0.1,0.634368461344539,0.08403348901105591
CiteSeer,Betweenness_Adaptive,1.1,0.01,0.4964902831635946,0.030834586729053762
CiteSeer,Betweenness_Adaptive,1.1,0.05,0.655926962348739,0.04821028111263504
CiteSeer,Betweenness_Adaptive,1.1,0.1,0.6941456476625826,0.05682663026706681
CiteSeer,Betweenness_Adaptive,1.2,0.01,0.5073902403405424,0.028156620712401433
CiteSeer,Betweenness_Adaptive,1.2,0.05,0.6764319900050848,0.03945774420967091
CiteSeer,Betweenness_Adaptive,1.2,0.1,0.7244536060505422,0.04589004306637596
CiteSeer,Betweenness_Adaptive,1.5,0.01,0.5255371711044405,0.021164808655349015
CiteSeer,Betweenness_Adaptive,1.5,0.05,0.7370281071885894,0.020709239980605955
CiteSeer,Betweenness_Adaptive,1.5,0.1,0.7970543793391085,0.02121055555857873
CiteSeer,Betweenness_Adaptive,2.0,0.01,0.5809202545736946,0.038935519745427215
CiteSeer,Betweenness_Adaptive,2.0,0.05,0.7911130866186031,0.01583697895100034
CiteSeer,Betweenness_Adaptive,2.0,0.1,0.8610477342673584,0.009699931867824701
CiteSeer,Degree,0.8,0.01,0.4985223127357828,0.0974375704361436
CiteSeer,Degree,0.8,0.05,0.5375984648723027,0.10190390517652811
CiteSeer,Degree,0.8,0.1,0.5461257103952537,0.09416865603193167
CiteSeer,Degree,0.9,0.01,0.5832666351151842,0.10511310996733925
CiteSeer,Degree,0.9,0.05,0.6277094648239324,0.10094225589221642
CiteSeer,Degree,0.9,0.1,0.6378928913180785,0.09434952550084705
CiteSeer,Degree,1.0,0.01,0.6698690789037783,0.09481976112999141
CiteSeer,Degree,1.0,0.05,0.7130388046038452,0.09650090202729361
CiteSeer,Degree,1.0,0.1,0.7269141909804046,0.08778466349983362
CiteSeer,Degree,1.1,0.01,0.7300778328146975,0.06687186383156454
CiteSeer,Degree,1.1,0.05,0.7754089235402221,0.0686092725800949
CiteSeer,Degree,1.1,0.1,0.7881656429123759,0.0636772533916381
CiteSeer,Degree,1.2,0.01,0.7637215568614641,0.05073612273559825
CiteSeer,Degree,1.2,0.05,0.8158205220044079,0.05477336996337933
CiteSeer,Degree,1.2,0.1,0.8286234254398147,0.04956626222504447
CiteSeer,Degree,1.5,0.01,0.8237451303816012,0.031570221208423045
CiteSeer,Degree,1.5,0.05,0.8945580647485706,0.029497288544398096
CiteSeer,Degree,1.5,0.1,0.9063071497289513,0.02529021553067152
CiteSeer,Degree,2.0,0.01,0.7981821192000027,0.035985913379855
CiteSeer,Degree,2.0,0.05,0.9484051944202072,0.011706980450990695
CiteSeer,Degree,2.0,0.1,0.9588400236663397,0.008117157152940289
CiteSeer,Degree_Adaptive,0.8,0.01,0.5027337505368701,0.09395742214987333
CiteSeer,Degree_Adaptive,0.8,0.05,0.5368909970477256,0.1001381907177477
CiteSeer,Degree_Adaptive,0.8,0.1,0.5453866970651741,0.0941793137271275
CiteSeer,Degree_Adaptive,0.9,0.01,0.5824303874006296,0.0987341739939176
CiteSeer,Degree_Adaptive,0.9,0.05,0.6268744021089081,0.10272134032641633
CiteSeer,Degree_Adaptive,0.9,0.1,0.6390415803811893,0.0938305628985757
CiteSeer,Degree_Adaptive,1.0,0.01,0.6689806326406704,0.09600954945561334
CiteSeer,Degree_Adaptive,1.0,0.05,0.7142655595934894,0.09417687900848165
CiteSeer,Degree_Adaptive,1.0,0.1,0.7278433965027961,0.09019159547216536
CiteSeer,Degree_Adaptive,1.1,0.01,0.7277211627940605,0.06830360292461427
CiteSeer,Degree_Adaptive,1.1,0.05,0.7751023946465967,0.0688640033231881
CiteSeer,Degree_Adaptive,1.1,0.1,0.7889050416339652,0.062303490022298375
CiteSeer,Degree_Adaptive,1.2,0.01,0.7637563082153237,0.05448362180328998
CiteSeer,Degree_Adaptive,1.2,0.05,0.8156774316849551,0.055023624743062986
CiteSeer,Degree_Adaptive,1.2,0.1,0.8279082976733767,0.04838561013717844
CiteSeer,Degree_Adaptive,1.5,0.01,0.8238619683778886,0.03676979960682729
CiteSeer,Degree_Adaptive,1.5,0.05,0.8937691536682628,0.030208671706341235
CiteSeer,Degree_Adaptive,1.5,0.1,0.9060730884597131,0.02549632304750386
CiteSeer,Degree_Adaptive,2.0,0.01,0.797571233217468,0.03334094127517364
CiteSeer,Degree_Adaptive,2.0,0.05,0.9488770501089195,0.011161470279031053
CiteSeer,Degree_Adaptive,2.0,0.1,0.9589564921816744,0.008309182827522603
CiteSeer,Ours,0.8,0.01,0.007606464531961269,0.02846462600157252
CiteSeer,Ours,0.8,0.05,0.056684396428545704,0.04326119368787696
CiteSeer,Ours,0.8,0.1,0.05805681643296131,0.06815393711969432
CiteSeer,Ours,0.9,0.01,0.0011491885513859907,0.04015635496357337
CiteSeer,Ours,0.9,0.05,0.04959660282840752,0.032120783281207085
CiteSeer,Ours,0.9,0.1,0.11117349621565012,0.06113960328544677
CiteSeer,Ours,1.0,0.01,0.0328910371128735,0.010342088610935225
CiteSeer,Ours,1.0,0.05,0.1009379549854551,0.05351784954262694
CiteSeer,Ours,1.0,0.1,0.16284458057991497,0.05307738226570249
CiteSeer,Ours,1.1,0.01,0.029526796092058372,0.06694733560234233
CiteSeer,Ours,1.1,0.05,0.12891770138418857,0.062359443299689316
CiteSeer,Ours,1.1,0.1,0.20341087158531926,0.054681207584316854
CiteSeer,Ours,1.2,0.01,0.007576968098409355,0.053716459291182836
CiteSeer,Ours,1.2,0.05,0.09965989798770067,0.048861750561340414
CiteSeer,Ours,1.2,0.1,0.18864937191246173,0.043970420923020594
CiteSeer,Ours,1.5,0.01,0.03402529853220789,0.03697868541018338
CiteSeer,Ours,1.5,0.05,0.137274264235754,0.05751439836319169
CiteSeer,Ours,1.5,0.1,0.2412165390227384,0.017399552856123927
CiteSeer,Ours,2.0,0.01,0.0530628267026674,0.03674750338016983
CiteSeer,Ours,2.0,0.05,0.19010561727240324,0.03784765082273936
CiteSeer,Ours,2.0,0.1,0.3454789448459538,0.02904937136628832
CiteSeer,Ours_Adaptive,0.8,0.01,0.03777950234367757,0.06485268862427586
CiteSeer,Ours_Adaptive,0.8,0.05,0.04936423822706202,0.05283984180777224
CiteSeer,Ours_Adaptive,0.8,0.1,0.09245818109302842,0.04993380043557298
CiteSeer,Ours_Adaptive,0.9,0.01,-0.01527503275788814,0.029063034771954238
CiteSeer,Ours_Adaptive,0.9,0.05,0.05619061614001695,0.045849251982785194
CiteSeer,Ours_Adaptive,0.9,0.1,0.11272667385911964,0.045531494199411916
CiteSeer,Ours_Adaptive,1.0,0.01,0.020594692023948504,0.031725578392298996
CiteSeer,Ours_Adaptive,1.0,0.05,0.08885223036179081,0.048010739154397845
CiteSeer,Ours_Adaptive,1.0,0.1,0.16030333413918776,0.0790020963624973
CiteSeer,Ours_Adaptive,1.1,0.01,0.03086251631004463,0.02644275896364675
CiteSeer,Ours_Adaptive,1.1,0.05,0.09953128353750697,0.05689606615481898
CiteSeer,Ours_Adaptive,1.1,0.1,0.18430848663863433,0.0746494371357254
CiteSeer,Ours_Adaptive,1.2,0.01,0.024005586430508846,0.0805398376677789
CiteSeer,Ours_Adaptive,1.2,0.05,0.07256182480453721,0.07189924740330203
CiteSeer,Ours_Adaptive,1.2,0.1,0.1900339864102464,0.058332879825058186
CiteSeer,Ours_Adaptive,1.5,0.01,0.0413934065550431,0.0547328337153951
CiteSeer,Ours_Adaptive,1.5,0.05,0.12567269547784696,0.05529536766547393
CiteSeer,Ours_Adaptive,1.5,0.1,0.25721497536777765,0.027336837540081625
CiteSeer,Ours_Adaptive,2.0,0.01,0.05278109908884153,0.04239081983974917
CiteSeer,Ours_Adaptive,2.0,0.05,0.18987964970633114,0.03410527638421594
CiteSeer,Ours_Adaptive,2.0,0.1,0.34374379369383984,0.02765013877057406
CiteSeer,PageRank,0.8,0.01,0.4879422244038814,0.08730279736661191
CiteSeer,PageRank,0.8,0.05,0.541741210017778,0.09471125619660462
CiteSeer,PageRank,0.8,0.1,0.549164103788787,0.09188531610484925
CiteSeer,PageRank,0.9,0.01,0.5739092559697727,0.0878181580892026
CiteSeer,PageRank,0.9,0.05,0.6291134331836641,0.09600694000283116
CiteSeer,PageRank,0.9,0.1,0.6441895010603834,0.09151585436901105
CiteSeer,PageRank,1.0,0.01,0.6590733793983865,0.08953023839715997
CiteSeer,PageRank,1.0,0.05,0.7158671288407722,0.09095333475285525
CiteSeer,PageRank,1.0,0.1,0.7314536498754396,0.08510370881686903
CiteSeer,PageRank,1.1,0.01,0.7175276229182096,0.058240545308034145
CiteSeer,PageRank,1.1,0.05,0.7764172724208734,0.0649084489906326
CiteSeer,PageRank,1.1,0.1,0.7916975373425007,0.05809181802235439
CiteSeer,PageRank,1.2,0.01,0.74583914279348,0.04481234877179018
CiteSeer,PageRank,1.2,0.05,0.8172844206338826,0.05110573589307872
CiteSeer,PageRank,1.2,0.1,0.8313038581980645,0.04693877991163291
CiteSeer,PageRank,1.5,0.01,0.7968678874654316,0.030078910389785076
CiteSeer,PageRank,1.5,0.05,0.8935077148838577,0.026497568525584693
CiteSeer,PageRank,1.5,0.1,0.908048435456157,0.02419116210123692
CiteSeer,PageRank,2.0,0.01,0.7504148888668218,0.0411904336869037
CiteSeer,PageRank,2.0,0.05,0.9444546297020942,0.008332015319185673
CiteSeer,PageRank,2.0,0.1,0.9596157845220376,0.007497188896694672
CiteSeer,PageRank_Adaptive,0.8,0.01,0.49057122353111093,0.08927610560216971
CiteSeer,PageRank_Adaptive,0.8,0.05,0.540905548562122,0.09751528745436523
CiteSeer,PageRank_Adaptive,0.8,0.1,0.5510750607874568,0.08959787055776001
CiteSeer,PageRank_Adaptive,0.9,0.01,0.573792244177621,0.09186443717331244
CiteSeer,PageRank_Adaptive,0.9,0.05,0.6313682618352803,0.09675128034777934
CiteSeer,PageRank_Adaptive,0.9,0.1,0.6431883569234234,0.09180873827205417
CiteSeer,PageRank_Adaptive,1.0,0.01,0.6595310004675322,0.08797218738513055
CiteSeer,PageRank_Adaptive,1.0,0.05,0.7151803730773857,0.09271646110391933
CiteSeer,PageRank_Adaptive,1.0,0.1,0.7319109418151561,0.08328563069022123
CiteSeer,PageRank_Adaptive,1.1,0.01,0.7130801621323197,0.05811166792628444
CiteSeer,PageRank_Adaptive,1.1,0.05,0.7770223026045716,0.06450880808583659
CiteSeer,PageRank_Adaptive,1.1,0.1,0.7916862041116388,0.059847598075619915
CiteSeer,PageRank_Adaptive,1.2,0.01,0.7460978340423675,0.04460161579746281
CiteSeer,PageRank_Adaptive,1.2,0.05,0.816556576684573,0.05174637610528953
CiteSeer,PageRank_Adaptive,1.2,0.1,0.831512943956145,0.04571313965418553
CiteSeer,PageRank_Adaptive,1.5,0.01,0.798628212013,0.029842879542930325
CiteSeer,PageRank_Adaptive,1.5,0.05,0.8924912879823218,0.027200610828157716
CiteSeer,PageRank_Adaptive,1.5,0.1,0.9079570879894414,0.023574345725269175
CiteSeer,PageRank_Adaptive,2.0,0.01,0.7482695729233556,0.04083822457617937
CiteSeer,PageRank_Adaptive,2.0,0.05,0.944213095230506,0.008092768474795845
CiteSeer,PageRank_Adaptive,2.0,0.1,0.9599605265245204,0.007210964290395582
Computers,Betweenness,0.8,0.01,0.19220558272332852,0.02871345531420016
Computers,Betweenness,0.8,0.05,0.21297747129936764,0.029033750236839784
Computers,Betweenness,0.8,0.1,0.20406226150732848,0.042767242912617166
Computers,Betweenness,0.9,0.01,0.2945199577924109,0.04205125513026725
Computers,Betweenness,0.9,0.05,0.3230013769310361,0.03613875678466047
Computers,Betweenness,0.9,0.1,0.3222166222617234,0.04971158442550214
Computers,Betweenness,1.0,0.01,0.434551613336268,0.03978396972447272
Computers,Betweenness,1.0,0.05,0.47590945392682277,0.03869196422955583
Computers,Betweenness,1.0,0.1,0.4826322701259718,0.04463891110377973
Computers,Betweenness,1.1,0.01,0.5989322587405514,0.03833664073226384
Computers,Betweenness,1.1,0.05,0.6496305319184741,0.027733397768641702
Computers,Betweenness,1.1,0.1,0.6575564144721798,0.03741051065054017
Computers,Betweenness,1.2,0.01,0.7171619720902676,0.01509443097855907
Computers,Betweenness,1.2,0.05,0.7652823285985872,0.021314930925068944
Computers,Betweenness,1.2,0.1,0.7742058851572124,0.030139912949331552
Computers,Betweenness,1.5,0.01,0.8790509020929729,0.007889458611753563
Computers,Betweenness,1.5,0.05,0.9344693831660644,0.00534739834919381
Computers,Betweenness,1.5,0.1,0.9437460772661416,0.006614100728894511
Computers,Betweenness,2.0,0.01,0.7452045598337255,0.03225032376802565
Computers,Betweenness,2.0,0.05,0.9551988053754463,0.0059324495297959
Computers,Betweenness,2.0,0.1,0.9798023898849367,0.0010831611497126251
Computers,Betweenness_Adaptive,0.8,0.01,0.19400399535706647,0.029192637869112692
Computers,Betweenness_Adaptive,0.8,0.05,0.21775658180079308,0.03382149034938032
Computers,Betweenness_Adaptive,0.8,0.1,0.20379156675226423,0.041261727545925116
