dataset,seed,method,beta_scale,ratio,Delta_I
Cora,4,Ours,0.9,0.01,0.0006762548084598954
Cora,4,Ours_Adaptive,0.9,0.01,0.020192825543430017
Cora,4,PageRank,0.9,0.01,0.2667803197124634
Cora,4,PageRank_Adaptive,0.9,0.01,0.2639542790741121
Cora,4,Degree,0.9,0.01,0.262036608640945
Cora,4,Degree_Adaptive,0.9,0.01,0.2787405274140575
Cora,4,Betweenness,0.9,0.01,0.2603427173997399
Cora,4,Betweenness_Adaptive,0.9,0.01,0.2577939794502887
Cora,0,Ours,0.9,0.05,0.07770778600995824
Cora,0,Ours_Adaptive,0.9,0.05,0.11129992984497104
Cora,0,PageRank,0.9,0.05,0.36819142980430736
Cora,0,PageRank_Adaptive,0.9,0.05,0.3699647150091091
Cora,0,Degree,0.9,0.05,0.3751929419047258
Cora,0,Degree_Adaptive,0.9,0.05,0.3844097130299883
Cora,0,Betweenness,0.9,0.05,0.3354146805054309
Cora,0,Betweenness_Adaptive,0.9,0.05,0.326540338029614
Cora,1,Ours,0.9,0.05,0.022113020909559356
Cora,1,Ours_Adaptive,0.9,0.05,-0.016086424630657518
Cora,1,PageRank,0.9,0.05,0.32312023686081925
Cora,1,PageRank_Adaptive,0.9,0.05,0.33292004263973407
Cora,1,Degree,0.9,0.05,0.3256572668896739
Cora,1,Degree_Adaptive,0.9,0.05,0.3209447788075735
Cora,1,Betweenness,0.9,0.05,0.25710705170852916
Cora,1,Betweenness_Adaptive,0.9,0.05,0.26593910057967546
Cora,2,Ours,0.9,0.05,0.0643996577153144
Cora,2,Ours_Adaptive,0.9,0.05,0.06674362711211312
Cora,2,PageRank,0.9,0.05,0.3422605207461946
Cora,2,PageRank_Adaptive,0.9,0.05,0.3478997209444774
Cora,2,Degree,0.9,0.05,0.34215207458853536
Cora,2,Degree_Adaptive,0.9,0.05,0.34068805146013487
Cora,2,Betweenness,0.9,0.05,0.30120590391803653
Cora,2,Betweenness_Adaptive,0.9,0.05,0.28955956120084103
Cora,3,Ours,0.9,0.05,0.023968933593762808
Cora,3,Ours_Adaptive,0.9,0.05,0.05160991808090609
Cora,3,PageRank,0.9,0.05,0.4622101648150797
Cora,3,PageRank_Adaptive,0.9,0.05,0.45931620559879904
Cora,3,Degree,0.9,0.05,0.4639068270458204
Cora,3,Degree_Adaptive,0.9,0.05,0.4632668924501007
Cora,3,Betweenness,0.9,0.05,0.41879143804758084
Cora,3,Betweenness_Adaptive,0.9,0.05,0.4189285668895209
Cora,4,Ours,0.9,0.05,0.028551631759239176
Cora,4,Ours_Adaptive,0.9,0.05,0.015920810476477348
Cora,4,PageRank,0.9,0.05,0.33417185666868227
Cora,4,PageRank_Adaptive,0.9,0.05,0.33223457913288024
Cora,4,Degree,0.9,0.05,0.33174103461780685
Cora,4,Degree_Adaptive,0.9,0.05,0.3299882597044623
Cora,4,Betweenness,0.9,0.05,0.2869576355818518
Cora,4,Betweenness_Adaptive,0.9,0.05,0.30112743698657474
Cora,0,Ours,0.9,0.1,0.07196501535528257
Cora,0,Ours_Adaptive,0.9,0.1,0.08044923757871748
Cora,0,PageRank,0.9,0.1,0.38773801509029027
Cora,0,PageRank_Adaptive,0.9,0.1,0.3815738539214424
Cora,0,Degree,0.9,0.1,0.3914131567322533
Cora,0,Degree_Adaptive,0.9,0.1,0.38650859426968354
Cora,0,Betweenness,0.9,0.1,0.34698015632730533
Cora,0,Betweenness_Adaptive,0.9,0.1,0.3546873259113437
Cora,1,Ours,0.9,0.1,0.0256438277659519
Cora,1,Ours_Adaptive,0.9,0.1,-0.0035900421065704112
Cora,1,PageRank,0.9,0.1,0.3431803510771669
Cora,1,PageRank_Adaptive,0.9,0.1,0.34087801177489385
Cora,1,Degree,0.9,0.1,0.3369414630070856
Cora,1,Degree_Adaptive,0.9,0.1,0.34541798411146785
Cora,1,Betweenness,0.9,0.1,0.26830091173040443
Cora,1,Betweenness_Adaptive,0.9,0.1,0.2628613188733856
Cora,2,Ours,0.9,0.1,0.030266098021458698
Cora,2,Ours_Adaptive,0.9,0.1,0.04941352233718976
Cora,2,PageRank,0.9,0.1,0.34182715658379975
Cora,2,PageRank_Adaptive,0.9,0.1,0.336802147644571
Cora,2,Degree,0.9,0.1,0.3385063657925652
Cora,2,Degree_Adaptive,0.9,0.1,0.33440102600391464
Cora,2,Betweenness,0.9,0.1,0.30661421060421307
Cora,2,Betweenness_Adaptive,0.9,0.1,0.3144220445808323
Cora,3,Ours,0.9,0.1,0.03720438665096393
Cora,3,Ours_Adaptive,0.9,0.1,0.04881184223934277
Cora,3,PageRank,0.9,0.1,0.4812017556119084
Cora,3,PageRank_Adaptive,0.9,0.1,0.47470304360707005
Cora,3,Degree,0.9,0.1,0.4704049731603083
Cora,3,Degree_Adaptive,0.9,0.1,0.47840395503807276
Cora,3,Betweenness,0.9,0.1,0.4266330872051422
Cora,3,Betweenness_Adaptive,0.9,0.1,0.43676250000579675
Cora,4,Ours,0.9,0.1,0.021425464700053857
Cora,4,Ours_Adaptive,0.9,0.1,-0.006918731755488722
Cora,4,PageRank,0.9,0.1,0.31847264355413535
Cora,4,PageRank_Adaptive,0.9,0.1,0.32790081837513646
Cora,4,Degree,0.9,0.1,0.3303674769362447
Cora,4,Degree_Adaptive,0.9,0.1,0.33091036234661736
Cora,4,Betweenness,0.9,0.1,0.29121940678825486
Cora,4,Betweenness_Adaptive,0.9,0.1,0.28874626214100135
Cora,0,Ours,1.0,0.01,0.03582140282236706
Cora,0,Ours_Adaptive,1.0,0.01,0.03991119308395871
Cora,0,PageRank,1.0,0.01,0.392341003895349
Cora,0,PageRank_Adaptive,1.0,0.01,0.3930488522098553
Cora,0,Degree,1.0,0.01,0.40539687280735315
Cora,0,Degree_Adaptive,1.0,0.01,0.3970993175650855
Cora,0,Betweenness,1.0,0.01,0.34157254978270624
Cora,0,Betweenness_Adaptive,1.0,0.01,0.35085322768401056
Cora,1,Ours,1.0,0.01,-0.03333104482867033
Cora,1,Ours_Adaptive,1.0,0.01,-0.009700705322578735
Cora,1,PageRank,1.0,0.01,0.29338076407833286
Cora,1,PageRank_Adaptive,1.0,0.01,0.2917704671376118
Cora,1,Degree,1.0,0.01,0.3005376393704264
Cora,1,Degree_Adaptive,1.0,0.01,0.2929781898431525
Cora,1,Betweenness,1.0,0.01,0.29107782257809295
Cora,1,Betweenness_Adaptive,1.0,0.01,0.28723732762968424
Cora,2,Ours,1.0,0.01,0.05448727217886553
Cora,2,Ours_Adaptive,1.0,0.01,0.021226878868287974
Cora,2,PageRank,1.0,0.01,0.36810302880986834
Cora,2,PageRank_Adaptive,1.0,0.01,0.35082627497620583
Cora,2,Degree,1.0,0.01,0.359791038930197
Cora,2,Degree_Adaptive,1.0,0.01,0.36871228461256683
Cora,2,Betweenness,1.0,0.01,0.34299298608436896
Cora,2,Betweenness_Adaptive,1.0,0.01,0.3541336636194259
Cora,3,Ours,1.0,0.01,-0.013586855609841006
Cora,3,Ours_Adaptive,1.0,0.01,-0.01248363221098091
Cora,3,PageRank,1.0,0.01,0.4589842254696663
Cora,3,PageRank_Adaptive,1.0,0.01,0.4636462340261401
Cora,3,Degree,1.0,0.01,0.46126184797053904
Cora,3,Degree_Adaptive,1.0,0.01,0.46193801715048555
Cora,3,Betweenness,1.0,0.01,0.43094655902948
Cora,3,Betweenness_Adaptive,1.0,0.01,0.44507827246629117
Cora,4,Ours,1.0,0.01,0.03450371636235203
Cora,4,Ours_Adaptive,1.0,0.01,0.02603493177156375
Cora,4,PageRank,1.0,0.01,0.33901515244835967
Cora,4,PageRank_Adaptive,1.0,0.01,0.35433713810800144
Cora,4,Degree,1.0,0.01,0.36289191343463467
Cora,4,Degree_Adaptive,1.0,0.01,0.3597423941601528
Cora,4,Betweenness,1.0,0.01,0.3308769597284658
Cora,4,Betweenness_Adaptive,1.0,0.01,0.3356919496102837
Cora,0,Ours,1.0,0.05,0.11641161297787465
Cora,0,Ours_Adaptive,1.0,0.05,0.12102136164477896
Cora,0,PageRank,1.0,0.05,0.44832924225848486
Cora,0,PageRank_Adaptive,1.0,0.05,0.4519954751163737
Cora,0,Degree,1.0,0.05,0.45396854161060685
Cora,0,Degree_Adaptive,1.0,0.05,0.4467324349561752
Cora,0,Betweenness,1.0,0.05,0.40439285608532743
Cora,0,Betweenness_Adaptive,1.0,0.05,0.4107526019313346
Cora,1,Ours,1.0,0.05,-0.046145435971384215
Cora,1,Ours_Adaptive,1.0,0.05,0.009159524240621676
Cora,1,PageRank,1.0,0.05,0.38070949888140376
Cora,1,PageRank_Adaptive,1.0,0.05,0.3766059681861131
Cora,1,Degree,1.0,0.05,0.3713253806168382
Cora,1,Degree_Adaptive,1.0,0.05,0.37221787429051856
Cora,1,Betweenness,1.0,0.05,0.3191677371712889
Cora,1,Betweenness_Adaptive,1.0,0.05,0.3150466084886107
Cora,2,Ours,1.0,0.05,0.07657841146562555
Cora,2,Ours_Adaptive,1.0,0.05,0.0887525374628275
Cora,2,PageRank,1.0,0.05,0.4166282390347875
Cora,2,PageRank_Adaptive,1.0,0.05,0.41971356367500684
Cora,2,Degree,1.0,0.05,0.41756318589546004
Cora,2,Degree_Adaptive,1.0,0.05,0.4162542602905186
Cora,2,Betweenness,1.0,0.05,0.3632160605229415
Cora,2,Betweenness_Adaptive,1.0,0.05,0.3692774736650666
Cora,3,Ours,1.0,0.05,0.017470122954770198
Cora,3,Ours_Adaptive,1.0,0.05,0.018519224027146057
Cora,3,PageRank,1.0,0.05,0.5248881617913377
Cora,3,PageRank_Adaptive,1.0,0.05,0.5233797768393504
Cora,3,Degree,1.0,0.05,0.5249629924829357
Cora,3,Degree_Adaptive,1.0,0.05,0.5258231250391693
Cora,3,Betweenness,1.0,0.05,0.48015790569004424
Cora,3,Betweenness_Adaptive,1.0,0.05,0.48289469109624195
Cora,4,Ours,1.0,0.05,0.09959627792656055
Cora,4,Ours_Adaptive,1.0,0.05,0.06759289527117525
Cora,4,PageRank,1.0,0.05,0.415254544253306
Cora,4,PageRank_Adaptive,1.0,0.05,0.41917580082287087
Cora,4,Degree,1.0,0.05,0.41178308459927243
Cora,4,Degree_Adaptive,1.0,0.05,0.4205602027888372
Cora,4,Betweenness,1.0,0.05,0.3834643570643316
Cora,4,Betweenness_Adaptive,1.0,0.05,0.39289404548161905
Cora,0,Ours,1.0,0.1,0.11614562754362953
Cora,0,Ours_Adaptive,1.0,0.1,0.14397851932046843
Cora,0,PageRank,1.0,0.1,0.4646323514092098
Cora,0,PageRank_Adaptive,1.0,0.1,0.4626887786897202
Cora,0,Degree,1.0,0.1,0.46773424878968267
Cora,0,Degree_Adaptive,1.0,0.1,0.47096515918688
Cora,0,Betweenness,1.0,0.1,0.4306533386926168
Cora,0,Betweenness_Adaptive,1.0,0.1,0.4275218409230254
Cora,1,Ours,1.0,0.1,-0.0330310957262983
Cora,1,Ours_Adaptive,1.0,0.1,-0.026935956872329515
Cora,1,PageRank,1.0,0.1,0.39690995237376697
Cora,1,PageRank_Adaptive,1.0,0.1,0.4019432290120507
Cora,1,Degree,1.0,0.1,0.401735976444592
Cora,1,Degree_Adaptive,1.0,0.1,0.39878464605214387
Cora,1,Betweenness,1.0,0.1,0.3145874697344274
Cora,1,Betweenness_Adaptive,1.0,0.1,0.31269559127772983
Cora,2,Ours,1.0,0.1,0.05593820854409236
Cora,2,Ours_Adaptive,1.0,0.1,0.08319989408109153
Cora,2,PageRank,1.0,0.1,0.4198750598909338
Cora,2,PageRank_Adaptive,1.0,0.1,0.41750745622434465
Cora,2,Degree,1.0,0.1,0.41151131103415967
Cora,2,Degree_Adaptive,1.0,0.1,0.4156488453672838
Cora,2,Betweenness,1.0,0.1,0.3944807529933158
Cora,2,Betweenness_Adaptive,1.0,0.1,0.38795974032265423
Cora,3,Ours,1.0,0.1,0.10190235322936964
Cora,3,Ours_Adaptive,1.0,0.1,0.08079441852261314
Cora,3,PageRank,1.0,0.1,0.5445050137693803
Cora,3,PageRank_Adaptive,1.0,0.1,0.5426521598170251
Cora,3,Degree,1.0,0.1,0.5384567015199166
Cora,3,Degree_Adaptive,1.0,0.1,0.5411051371182916
Cora,3,Betweenness,1.0,0.1,0.5007824454824821
Cora,3,Betweenness_Adaptive,1.0,0.1,0.49792421224062783
Cora,4,Ours,1.0,0.1,0.05441271862234525
Cora,4,Ours_Adaptive,1.0,0.1,0.039365234171039515
Cora,4,PageRank,1.0,0.1,0.4200313625646009
Cora,4,PageRank_Adaptive,1.0,0.1,0.412985717671013
Cora,4,Degree,1.0,0.1,0.42329161439424257
Cora,4,Degree_Adaptive,1.0,0.1,0.4219689149103376
Cora,4,Betweenness,1.0,0.1,0.37506395628878597
Cora,4,Betweenness_Adaptive,1.0,0.1,0.3870191247010035
Cora,0,Ours,1.1,0.01,0.002725557868417952
Cora,0,Ours_Adaptive,1.1,0.01,0.055184018241321985
Cora,0,PageRank,1.1,0.01,0.4766797496258525
Cora,0,PageRank_Adaptive,1.1,0.01,0.4721096286226126
Cora,0,Degree,1.1,0.01,0.45435144415288026
Cora,0,Degree_Adaptive,1.1,0.01,0.46368754848807026
Cora,0,Betweenness,1.1,0.01,0.43678912201185804
Cora,0,Betweenness_Adaptive,1.1,0.01,0.424841519960531
Cora,1,Ours,1.1,0.01,0.014520266184374858
Cora,1,Ours_Adaptive,1.1,0.01,0.04615747739011325
Cora,1,PageRank,1.1,0.01,0.40234422156339683
Cora,1,PageRank_Adaptive,1.1,0.01,0.4025597319241331
Cora,1,Degree,1.1,0.01,0.4032780997932542
Cora,1,Degree_Adaptive,1.1,0.01,0.40399646766237524
Cora,1,Betweenness,1.1,0.01,0.385386748919532
Cora,1,Betweenness_Adaptive,1.1,0.01,0.39409423824221235
Cora,2,Ours,1.1,0.01,0.05826821050993061
Cora,2,Ours_Adaptive,1.1,0.01,-0.012230334213357315
Cora,2,PageRank,1.1,0.01,0.4168286130919011
Cora,2,PageRank_Adaptive,1.1,0.01,0.42706672516821126
Cora,2,Degree,1.1,0.01,0.4266930714427986
Cora,2,Degree_Adaptive,1.1,0.01,0.42153665003210206
Cora,2,Betweenness,1.1,0.01,0.4099160191717649
Cora,2,Betweenness_Adaptive,1.1,0.01,0.40677732787829757
Cora,3,Ours,1.1,0.01,-0.0249022853766895
Cora,3,Ours_Adaptive,1.1,0.01,-0.0003057651531995302
Cora,3,PageRank,1.1,0.01,0.5226299030482621
Cora,3,PageRank_Adaptive,1.1,0.01,0.524736480775485
Cora,3,Degree,1.1,0.01,0.5201672840150298
Cora,3,Degree_Adaptive,1.1,0.01,0.5283265639444142
Cora,3,Betweenness,1.1,0.01,0.4975413535199395
Cora,3,Betweenness_Adaptive,1.1,0.01,0.49514301972251434
Cora,4,Ours,1.1,0.01,0.029367284285613426
Cora,4,Ours_Adaptive,1.1,0.01,-0.015068555933653756
Cora,4,PageRank,1.1,0.01,0.3926557301313059
Cora,4,PageRank_Adaptive,1.1,0.01,0.4041332665352282
Cora,4,Degree,1.1,0.01,0.39768184084413455
Cora,4,Degree_Adaptive,1.1,0.01,0.40049496251176264
Cora,4,Betweenness,1.1,0.01,0.37314687344315756
Cora,4,Betweenness_Adaptive,1.1,0.01,0.37041899788666965
Cora,0,Ours,1.1,0.05,0.17047676424674774
Cora,0,Ours_Adaptive,1.1,0.05,0.1565168844122703
Cora,0,PageRank,1.1,0.05,0.5277348164360567
Cora,0,PageRank_Adaptive,1.1,0.05,0.522113568536905
Cora,0,Degree,1.1,0.05,0.5261483889052281
