dataset,seed,method,beta_scale,Delta_I
CiteSeer,4,PageRank,0.9,0.7298621868226484
CiteSeer,4,Degree,0.9,0.7347476794752942
CiteSeer,4,Betweenness,0.9,0.594814321524113
CiteSeer,0,Ours,1.0,0.162310693566529
CiteSeer,0,PageRank,1.0,0.7216592646892028
CiteSeer,0,Degree,1.0,0.7139103668040006
CiteSeer,0,Betweenness,1.0,0.6076727964711321
CiteSeer,1,Ours,1.0,0.14250266626926833
CiteSeer,1,PageRank,1.0,0.6908046306067958
CiteSeer,1,Degree,1.0,0.6843047386868204
CiteSeer,1,Betweenness,1.0,0.6024895486563675
CiteSeer,2,Ours,1.0,0.03367839291639567
CiteSeer,2,PageRank,1.0,0.5756558357779433
CiteSeer,2,Degree,1.0,0.5671046330092806
CiteSeer,2,Betweenness,1.0,0.4782599566384544
CiteSeer,3,Ours,1.0,0.10312521997881596
CiteSeer,3,PageRank,1.0,0.8007046633751227
CiteSeer,3,Degree,1.0,0.8033915300408355
CiteSeer,3,Betweenness,1.0,0.7067802528095718
CiteSeer,4,Ours,1.0,0.0630728021962666
CiteSeer,4,PageRank,1.0,0.7905112497547963
CiteSeer,4,Degree,1.0,0.7964827544782885
CiteSeer,4,Betweenness,1.0,0.6581129539459214
CiteSeer,0,Ours,1.1,0.20016500312663688
CiteSeer,0,PageRank,1.1,0.7813081624909294
CiteSeer,0,Degree,1.1,0.7809495850533313
CiteSeer,0,Betweenness,1.1,0.6642997034407725
CiteSeer,1,Ours,1.1,0.16950769718421713
CiteSeer,1,PageRank,1.1,0.7630939432049447
CiteSeer,1,Degree,1.1,0.7578039618576722
CiteSeer,1,Betweenness,1.1,0.6618629587431957
CiteSeer,2,Ours,1.1,0.13806043634575169
CiteSeer,2,PageRank,1.1,0.6739454467540256
CiteSeer,2,Degree,1.1,0.6686482878422078
CiteSeer,2,Betweenness,1.1,0.5848253660104147
CiteSeer,3,Ours,1.1,0.09516156976428092
CiteSeer,3,PageRank,1.1,0.8324360008398111
CiteSeer,3,Degree,1.1,0.8308984140692461
CiteSeer,3,Betweenness,1.1,0.716158143344011
CiteSeer,4,Ours,1.1,0.04169380050005626
CiteSeer,4,PageRank,1.1,0.8313028088146562
CiteSeer,4,Degree,1.1,0.838744368878653
CiteSeer,4,Betweenness,1.1,0.6882828440387486
CiteSeer,0,Ours,1.2,0.12862529274419138
CiteSeer,0,PageRank,1.2,0.8206896878353082
CiteSeer,0,Degree,1.2,0.8165084682244278
CiteSeer,0,Betweenness,1.2,0.6887550845340948
CiteSeer,1,Ours,1.2,0.14789355533975576
CiteSeer,1,PageRank,1.2,0.8073454021630901
CiteSeer,1,Degree,1.2,0.8054359149991942
CiteSeer,1,Betweenness,1.2,0.6796585417987471
CiteSeer,2,Ours,1.2,0.12437027516040332
CiteSeer,2,PageRank,1.2,0.7365819386819377
CiteSeer,2,Degree,1.2,0.7301929740488031
CiteSeer,2,Betweenness,1.2,0.631272970895277
CiteSeer,3,Ours,1.2,0.06574974624096856
CiteSeer,3,PageRank,1.2,0.863971270313008
CiteSeer,3,Degree,1.2,0.8663762003765754
CiteSeer,3,Betweenness,1.2,0.7410971621068129
CiteSeer,4,Ours,1.2,0.03166062045318428
CiteSeer,4,PageRank,1.2,0.8578338041760692
CiteSeer,4,Degree,1.2,0.8605890523730395
CiteSeer,4,Betweenness,1.2,0.687971507455923
CiteSeer,0,Ours,1.5,0.1835011667374876
CiteSeer,0,PageRank,1.5,0.8917095618754199
CiteSeer,0,Degree,1.5,0.8934080888257443
CiteSeer,0,Betweenness,1.5,0.7262957748228864
CiteSeer,1,Ours,1.5,0.1113854504074901
CiteSeer,1,PageRank,1.5,0.8887915461981855
CiteSeer,1,Degree,1.5,0.8879086950196269
CiteSeer,1,Betweenness,1.5,0.7329897152616208
CiteSeer,2,Ours,1.5,0.16471584373435982
CiteSeer,2,PageRank,1.5,0.8528599277134221
CiteSeer,2,Degree,1.5,0.8495068619661356
CiteSeer,2,Betweenness,1.5,0.729329412465889
CiteSeer,3,Ours,1.5,0.17869131435530838
CiteSeer,3,PageRank,1.5,0.920141152944551
CiteSeer,3,Degree,1.5,0.9230596886987917
CiteSeer,3,Betweenness,1.5,0.7650877997270399
CiteSeer,4,Ours,1.5,0.048077545944124236
CiteSeer,4,PageRank,1.5,0.9140363856877101
CiteSeer,4,Degree,1.5,0.9189069892325543
CiteSeer,4,Betweenness,1.5,0.73361932158978
CiteSeer,0,Ours,2.0,0.21563934725570552
CiteSeer,0,PageRank,2.0,0.9411620689095056
CiteSeer,0,Degree,2.0,0.9452005044161584
CiteSeer,0,Betweenness,2.0,0.7825675022931218
CiteSeer,1,Ours,2.0,0.14878944423984458
CiteSeer,1,PageRank,2.0,0.9430016275051584
CiteSeer,1,Degree,2.0,0.9461294316907248
CiteSeer,1,Betweenness,2.0,0.7701144865446076
CiteSeer,2,Ours,2.0,0.22669177558761514
CiteSeer,2,PageRank,2.0,0.9329413967943291
