node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
34,1184.803232323232,0.1799695365561326,-0.0151069654263408,9863,10012,8797164,1.0,0.0309278350515463,0.1736794986571172,0.0030452488534321,0.1333333333333333,4,34.420970836442606,0.8474795060545436,1.0,0.37524587,val,0,0.37524587
35,296.2311111111111,0.2078474893162393,0.5794675951926317,8903,3744,2199516,1.0,0.0360824742268041,0.2033542976939203,0.0379056506052927,0.0476190476190476,4,17.21136578285149,0.8279190947907658,0.4205324048073683,0.3005373,val,0,0.3005373
36,756.5090909090908,0.2805950778696405,-0.7672443085287122,5886,10402,5617080,1.0,0.0257731958762886,0.2006204756980351,0.0160560486584737,0.3,4,27.50471035857478,0.780886962070454,1.0,0.35468915,val,0,0.35468915
37,14.94141414141414,0.0788109037328094,0.827076609478512,11774,2036,110940,1.0,0.0309278350515463,0.1733690795352993,0.0072550502041447,0.0666666666666666,4,3.865412674141551,0.9269465079930924,0.1729233905214879,0.17215528,val,0,0.17215528
38,0.0,0.0,1.0,34137,0,0,1.0,0.0309278350515463,0.2006204756980351,0.0119486392922641,0.2666666666666666,4,0.001,1.0,0.0,0.21366023,val,0,0.21366023
39,12.625993265993264,0.0249085054678007,0.9556190681622088,37088,1646,93748,1.0,0.0360824742268041,0.174303683737646,0.0034854282397148,0.0952380952380952,4,3.553307510755756,0.9756968496847124,0.0443809318377912,0.194113,val,0,0.194113
40,976.624377104377,0.0386441317278398,0.8049463765245196,35339,6893,7251436,1.0,0.0360824742268041,0.2027168234064786,0.0323088281303654,0.0952380952380952,4,31.25099003398736,0.9627936744190204,0.1950536234754804,0.37633952,val,0,0.37633952
41,309.46585858585854,0.2747619654714475,0.6616946715787582,11129,3765,2297784,1.0,0.0206185567010309,0.1514441842310694,0.0003700326346018,0.1666666666666666,4,17.591641753567476,0.7844601793011358,0.3383053284212418,0.11793853,val,0,0.11793853
42,0.0,0.0,1.0,34757,0,0,1.0,0.0257731958762886,0.1719858156028368,0.0005441806974844,0.1,4,0.001,1.0,0.0,0.13705978,val,0,0.13705978
43,0.0,0.0,1.0,9492,0,0,1.0,0.0206185567010309,0.1721384205856255,0.0021407077867737,0.1666666666666666,4,0.001,1.0,0.0,0.11993864,val,0,0.11993864
