SP,KD,Top10,Top20,SP_std,KD_std,Top10_std,Top20_std,Dataset,Method
0.1117357883284473,0.07076039740052945,0.27999999999999997,0.26,0.025796839962052075,0.016712710335919166,0.08366600265340755,0.02236067977499789,CiteSeer,PR
0.5522773030847982,0.3989416130177843,0.5,0.74,0.014273634762885682,0.0105085412568795,0.07071067811865474,0.0651920240520265,CiteSeer,SAGE
0.6096259458064134,0.47088289978478637,0.3,0.3,0.014384884358543154,0.01150461574407947,0.1414213562373095,0.06123724356957945,PubMed,Degree
0.6733704979493,0.4915504932123954,0.16,0.38,0.01627633277412271,0.014735631025602497,0.08944271909999159,0.14832396974191325,PubMed,GAT
0.6550986584802618,0.4836651669392612,0.7,0.79,0.01839131290798775,0.015191472633737744,0.10000000000000005,0.0418330013267038,PubMed,GCN
0.6518731205943722,0.5254392598683849,0.36,0.5700000000000001,0.012692652886147316,0.011219388115343173,0.11401754250991379,0.07582875444051551,PubMed,K-shell
0.6002582322589373,0.43226612429475686,0.3,0.45,0.011585565231637484,0.009737978596911242,0.14142135623730953,0.09999999999999999,PubMed,MLP
0.8610615604245002,0.6839687511835277,0.28,0.37,0.0024034077072761844,0.0031846123370347923,0.16431676725154984,0.14832396974191325,PubMed,Ours
0.3707794862367071,0.24446563425208473,0.04,0.04,0.018644557508924284,0.01229641283782874,0.05477225575051661,0.06519202405202648,PubMed,PR
0.577008759322897,0.4149642970821289,0.27999999999999997,0.44000000000000006,0.024480937289172115,0.01915338365159449,0.14832396974191325,0.11401754250991385,PubMed,SAGE
0.706051916960839,0.5305774871193983,0.78,0.71,0.011489098638110415,0.010298203410071132,0.08366600265340758,0.04183300132670373,Computers,Degree
0.7265038928502563,0.5417409789211399,0.08,0.19,0.013303264448705204,0.011730907244176029,0.08366600265340757,0.08944271909999159,Computers,GAT
0.7683942168014647,0.5816063362883467,0.82,0.76,0.008384134762280424,0.009127549780935117,0.0836660026534076,0.054772255750516655,Computers,GCN
0.7629877393771696,0.5951595246585948,0.08,0.15,0.011516266897889038,0.010889311250222761,0.0447213595499958,0.05,Computers,K-shell
0.6480026948907666,0.47365102122504454,0.0,0.05,0.026390574443917673,0.021382924234986847,0.0,0.05,Computers,MLP
0.8509095866682411,0.6779874491795197,0.04,0.09,0.007257353730292901,0.006683045737898239,0.05477225575051662,0.0651920240520265,Computers,Ours
0.4773832659777685,0.3363536424267365,0.62,0.52,0.01651166132180082,0.012200518962156211,0.10954451150103321,0.0570087712549569,Computers,PR
0.7115281040325423,0.5301541309812119,0.13999999999999999,0.18,0.027680711538277704,0.025151358502373777,0.19493588689617927,0.20493901531919195,Computers,SAGE
0.651986984522794,0.48770618194857124,0.7,0.5900000000000001,0.016559170506932584,0.014729651655218617,0.10000000000000002,0.041833001326703756,Photo,Degree
0.791611279350139,0.6007428735057372,0.12,0.19,0.026395386392758034,0.025558216112057924,0.21679483388678802,0.16355427233796127,Photo,GAT
0.8160973396104578,0.6398860270269054,0.78,0.78,0.025822097782796368,0.02247647078888511,0.13038404810405302,0.06708203932499371,Photo,GCN
0.7407806832031736,0.5794903989419412,0.02,0.19,0.013108464380596884,0.013433954049517744,0.0447213595499958,0.14747881203752622,Photo,K-shell
0.694464532996574,0.5138572484003984,0.22000000000000003,0.39,0.029757239371767972,0.027518050467949043,0.04472135954999579,0.0651920240520265,Photo,MLP
0.9105160131005006,0.7576707510396881,0.16,0.35,0.0038709481556033877,0.0026130899444115354,0.20736441353327723,0.11180339887498948,Photo,Ours
0.37428994958686135,0.2636613383895371,0.45999999999999996,0.4,0.021616004442560215,0.016072075666712645,0.151657508881031,0.0,Photo,PR
0.776793790898432,0.5937111562415129,0.18,0.25,0.022111325520146347,0.023078837034423025,0.10954451150103323,0.09999999999999999,Photo,SAGE
0.7847339764882275,0.6082623957523384,0.48,0.49000000000000005,0.005344037743914266,0.005751541975166445,0.17888543819998315,0.14317821063276354,CS,Degree
0.8390666236277072,0.643014308909309,0.24,0.3,0.004248755377625591,0.0039052361997454236,0.15165750888103102,0.21213203435596428,CS,GAT
0.8747298665640091,0.6985484361767849,0.8,0.8400000000000001,0.006152907765029179,0.007059420910708166,0.15811388300841897,0.022360679774997862,CS,GCN
0.8305475010711486,0.6755160904371522,0.14,0.15,0.002976797555753141,0.0033924643377835953,0.08944271909999159,0.049999999999999996,CS,K-shell
0.797545398074191,0.6051975136920683,0.52,0.5900000000000001,0.008223764633312898,0.009368550629873648,0.1788854381999832,0.11937336386313321,CS,MLP
0.9384446387491435,0.785742719967166,0.34,0.45,0.002099352901830403,0.004543713607299874,0.0894427190999916,0.1,CS,Ours
0.5738081535805089,0.40427493473056464,0.26,0.39,0.01307965161031243,0.010160115317454,0.1816590212458495,0.12449899597988733,CS,PR
0.8257150399324921,0.63562840393188,0.5399999999999999,0.5900000000000001,0.01588049615277395,0.01584298897391494,0.15165750888103097,0.0821583836257749,CS,SAGE
0.7567716548580548,0.5806248931581068,0.6599999999999999,0.6399999999999999,0.006956531562176556,0.006807620452902941,0.1341640786499874,0.05477225575051658,Physics,Degree
0.841226345397942,0.6522480650049576,0.0,0.0,0.009934159426306073,0.011203901450988653,0.0,0.0,Physics,GAT
0.8337845685194136,0.6661541954233572,0.8200000000000001,0.77,0.010615626096960377,0.011177243189108666,0.04472135954999581,0.06708203932499372,Physics,GCN
0.8431158685787992,0.6898228308401992,0.0,0.06,0.003958768770755838,0.004513272868849388,0.0,0.05477225575051661,Physics,K-shell
0.7914535091927183,0.6060844301713448,0.33999999999999997,0.38,0.009353215609222794,0.009952598016449057,0.20736441353327717,0.16807736313971613,Physics,MLP
0.9473313591064058,0.8116415315240939,0.38,0.39,0.0019676458231584607,0.003669613649845053,0.08366600265340757,0.07416198487095664,Physics,Ours
0.39523577194101495,0.2720851282024467,0.4,0.4,0.012569854570505646,0.009070387123933626,0.14142135623730953,0.12747548783981963,Physics,PR
0.7963494698569255,0.6126026244875435,0.33999999999999997,0.38,0.015344709039088493,0.013830517644346226,0.16733200530681513,0.11510864433221339,Physics,SAGE
