dataset,method,rank,source,target,nodes,num_nodes_in_path,score,path_length,cross_comm_ratio,avg_node_importance,avg_edge_bc,delta_E,delta_LCC,delta_ASP,fragility_score
cora,random,8,341,1620,341 -> 1389 -> 1358 -> 1620,4,0.11681303372615513,3.0,0.0,0.8240133911371231,0.0005828435365699964,0.012308428377178271,0.004800590841949726,0.5498471301925196,0.11681303372615513
cora,random,9,1757,519,1757 -> 1358 -> 68 -> 1986 -> 519,5,0.11441046900630769,4.0,0.5,0.8323035788536071,0.009000086776341551,0.015494327200577418,0.009601181683899562,0.5218613272625845,0.11441046900630769
cora,random,10,1757,1709,1757 -> 1358 -> 616 -> 2365 -> 1738 -> 1709,6,0.1133036949137331,5.0,0.0,0.8134877443313598,0.0005531946828146296,0.01125430333555319,0.005908419497784312,0.5321930289019905,0.1133036949137331
cora,rule,1,396,1470,396 -> 1988 -> 1986 -> 68 -> 1358 -> 1072 -> 1070 -> 1470,8,0.7560600266197656,7.0,0.42857142857142855,0.7272094324231148,0.009502375902353302,0.01640426864801872,0.010709010339734037,0.9959074456357753,0.21002680072225616
cora,rule,2,1083,177,1083 -> 2114 -> 386 -> 2117 -> 1894 -> 2034 -> 2130 -> 2249 -> 2671 -> 726 -> 177,11,0.2564953717048252,10.0,0.3,0.5313901950012554,0.009736374541462192,0.004485461066710772,0.008862629246676468,0.48455557642080027,0.10225035140951495
cora,rule,3,2533,1481,2533 -> 1201 -> 457 -> 2216 -> 708 -> 1358 -> 289 -> 109 -> 1789 -> 1015 -> 1481,11,0.3397356145707058,10.0,0.3,0.6362221948125146,0.0036732556461249706,0.015834027777777787,0.008124076809453484,0.49047275328143947,0.10767779249118041
cora,rule,4,341,236,341 -> 2045 -> 2046 -> 236,4,0.5239405530890675,3.0,0.3333333333333333,0.828432348370552,0.0012833351362011444,0.0,0.0007385524372229835,0.6510917302241195,0.1305137670197131
cora,rule,5,519,173,519 -> 598 -> 480 -> 687 -> 173,5,0.31974180674904956,4.0,0.5,0.7887639284133912,0.00538876716201375,0.0,0.001477104874446078,0.4291219652550513,0.0864152350007887
cora,rule,6,636,881,636 -> 2233 -> 2182 -> 239 -> 1759 -> 1358 -> 1599 -> 1199 -> 881,9,0.478959974030986,8.0,0.5,0.6267247762944963,0.003958503381144292,0.010214948246198008,0.010339734121122546,0.6787374559559032,0.14396936413810887
cora,rule,7,139,426,139 -> 306 -> 426,3,0.3104578222376077,2.0,0.0,0.8268052617708842,0.0007787490010189865,0.0005947025197023115,0.00036927621861149174,0.43812493443742717,0.08801057838281096
cora,rule,8,1787,1709,1787 -> 1810 -> 1095 -> 1986 -> 1709,5,0.33775920514362096,4.0,0.75,0.7924335789680481,0.011214270682515223,0.009830527805527761,0.009601181683899562,0.3437312418272711,0.07651893216122514
cora,rule,9,952,2069,952 -> 2546 -> 466 -> 1358 -> 1729 -> 1013 -> 1840 -> 1377 -> 2069,9,0.43038346345184797,8.0,0.375,0.6375641995006137,0.004213491238641737,0.012750418331668345,0.008493353028064976,0.5968935415632011,0.12787621685653355
cora,rule,10,379,1556,379 -> 1898 -> 1713 -> 88 -> 415 -> 525 -> 456 -> 2472 -> 1017 -> 1475 -> 888 -> 1556,12,0.016237659653884753,11.0,0.2727272727272727,0.5392830813924472,0.004417702806376358,0.004817824536574283,0.008493353028064976,0.16924091051890944,0.039172653129637594
cora,shortest,1,139,758,139 -> 306 -> 1072 -> 1358 -> 758,5,0.1845145927975223,4.0,0.25,0.8201652002334594,0.010845380877418296,0.019842784788740797,0.005169867060561217,0.8725476602890074,0.1845145927975223
cora,shortest,2,1757,139,1757 -> 1358 -> 1072 -> 306 -> 139,5,0.17989107031982807,4.0,0.25,0.8244224023818969,0.01091025855554717,0.013600906732156942,0.005169867060561217,0.861913804013704,0.17989107031982807
cora,shortest,3,1757,1805,1757 -> 1358 -> 1072 -> 1805,4,0.15956783756411783,3.0,0.3333333333333333,0.8272502392530441,0.010259651029095868,0.01233713161838182,0.004800590841949726,0.763563742899926,0.15956783756411783
cora,shortest,4,1779,1762,1779 -> 109 -> 289 -> 1358 -> 1762,5,0.15784836648187817,4.0,0.25,0.82925368309021,0.004968037014527856,0.01487079517704512,0.00553914327917282,0.7484219554969549,0.15784836648187817
cora,shortest,5,1779,173,1779 -> 109 -> 289 -> 1358 -> 173,5,0.1519662628584865,4.0,0.25,0.8275242924690247,0.0050644649130201095,0.0116137438949937,0.00553914327917282,0.7255255399440994,0.1519662628584865
cora,shortest,6,1757,308,1757 -> 1358 -> 1072 -> 306 -> 308,5,0.1426869084582976,4.0,0.25,0.8252795147895814,0.010840792466438254,0.01707013264513263,0.005169867060561217,0.6689545428801003,0.1426869084582976
cora,shortest,7,68,153,68 -> 1358 -> 289 -> 109 -> 153,5,0.13526827135356911,4.0,0.5,0.8273965263366699,0.007933629767504195,0.012709363553113473,0.00553914327917282,0.639844343103273,0.13526827135356911
cora,shortest,8,1839,2413,1839 -> 979 -> 524 -> 1358 -> 1725 -> 2413,6,0.1341404419981363,5.0,0.4,0.6789971133073172,0.0025089023541855454,0.014461066711066867,0.005908419497784312,0.6299632375729791,0.1341404419981363
cora,shortest,9,153,326,153 -> 109 -> 289 -> 1358 -> 326,5,0.13412682563579287,4.0,0.25,0.8243453073501585,0.004823495025392091,0.013500949744699814,0.00553914327917282,0.632553942131219,0.13412682563579287
cora,shortest,10,1757,173,1757 -> 1358 -> 173,3,0.13229431639178219,2.0,0.0,0.8326715668042501,0.0010648592729274192,0.012310509629259586,0.004431314623338234,0.6279879334537153,0.13229431639178219
